,date,ticker,company_name,person_name,person_category,number_of_securities,transaction_type,shares_before_acq,shares_after_acq,pct_before_acq,pct_after_acq,acq_mode,security_type,xbrl_link
3153,2023-06-16 12:17:00,AIAENG,AIA Engineering Limited,balkrishna f. shah huf,other,728,Sell,5158,4430,0.01,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147142_865592_16062023121748_WEB.xml
3154,2023-06-16 12:06:00,4THDIM,Fourth Dimension Solutions Limited,dhaval jitendrakumar mistry (trustee of linkstar trust),promoters,60000,Sell,148164265,148104265,90.98,90.94,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147140_865579_16062023120633_WEB.xml
3155,2023-06-16 10:56:00,NAVA,NAVA LIMITED,av dwellings private limited,promoter group,40000,Buy,2350000,2390000,1.62,1.65,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147136_865528_16062023105648_WEB.xml
3156,2023-06-16 10:19:00,BAJAJ-AUTO,Bajaj Auto Limited,zanzari kailash j,employees/designated employees,900,Buy,4100,5000,0.0,0.0,ESOP,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147132_865507_16062023101936_WEB.xml
3157,2023-06-16 09:09:00,BAJAJ-AUTO,Bajaj Auto Limited,s vishwanathan,employees/designated employees,0,Buy,0,1764,0.0,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147130_865497_16062023090920_WEB.xml
3158,2023-06-16 09:09:00,BAJAJ-AUTO,Bajaj Auto Limited,kevin dsa,employees/designated employees,3000,Buy,6658,9658,0.0,0.0,ESOP,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147130_865497_16062023090920_WEB.xml
3159,2023-06-16 09:05:00,BAJAJ-AUTO,Bajaj Auto Limited,milind bade,employees/designated employees,3009,Sell,3009,0,0.0,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147128_865494_16062023090558_WEB.xml
3160,2023-06-16 09:05:00,BAJAJ-AUTO,Bajaj Auto Limited,manish amarnath khattri,employees/designated employees,350,Sell,350,0,0.0,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147128_865494_16062023090558_WEB.xml
3161,2023-06-16 09:05:00,BAJAJ-AUTO,Bajaj Auto Limited,ajay rajinder mohan sharma,employees/designated employees,543,Buy,0,543,0.0,0.0,ESOP,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147128_865494_16062023090558_WEB.xml
3162,2023-06-15 22:10:00,LTIM,LTIMindtree Limited,sarbajit deb,employees/designated employees,500,Sell,35639,35139,0.01,0.01,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147126_865486_15062023101050_WEB.xml
3163,2023-06-15 22:10:00,LTIM,LTIMindtree Limited,deepak t a,employees/designated employees,252,Sell,252,0,0.0,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147126_865486_15062023101050_WEB.xml
3164,2023-06-15 22:10:00,LTIM,LTIMindtree Limited,nitin mohta,employees/designated employees,1300,Sell,2200,900,0.0,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147126_865486_15062023101050_WEB.xml
3165,2023-06-15 22:10:00,LTIM,LTIMindtree Limited,manoj shikarkhane,employees/designated employees,1000,Sell,32252,31252,0.01,0.01,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147126_865486_15062023101050_WEB.xml
3166,2023-06-15 20:24:00,ICICIGI,ICICI Lombard General Insurance Company Limited,vivek narayanan,-,0,Buy,0,2800,0.0,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147124_865483_15062023082413_WEB.xml
3167,2023-06-15 20:02:00,GREAVESCOT,Greaves Cotton Limited,karun carpets private limited,promoters,190000,Buy,129431455,129621455,55.83,55.91,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147119_865476_15062023080225_WEB.xml
3168,2023-06-15 20:00:00,MASTEK,Mastek Limited,sunil kothari,other,6759,Sell,59918,53159,0.2,0.17,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147117_865472_15062023080010_WEB.xml
3169,2023-06-15 20:00:00,DMART,Avenue Supermarts Limited,shashidhara rao k n,-,500,Sell,195462,194962,0.03,0.03,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147118_865474_15062023080030_WEB.xml
3170,2023-06-15 20:00:00,DMART,Avenue Supermarts Limited,rohit mundhra,-,1305,Sell,14780,13475,0.0,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147118_865474_15062023080030_WEB.xml
3171,2023-06-15 20:00:00,DMART,Avenue Supermarts Limited,prashant diwakar lokhande,-,5330,Sell,116395,111065,0.02,0.02,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147118_865474_15062023080030_WEB.xml
3172,2023-06-15 20:00:00,DMART,Avenue Supermarts Limited,mahesh ramji nagda,-,332,Sell,13562,13230,0.0,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147118_865474_15062023080030_WEB.xml
3173,2023-06-15 20:00:00,DMART,Avenue Supermarts Limited,jagmohan balmukund bagri,-,500,Sell,86900,86400,0.01,0.01,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147118_865474_15062023080030_WEB.xml
3174,2023-06-15 20:00:00,DMART,Avenue Supermarts Limited,arun kumar singh,-,2000,Sell,74500,72500,0.01,0.01,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147118_865474_15062023080030_WEB.xml
3175,2023-06-15 19:28:00,PARAGMILK,Parag Milk Foods Limited,sixth sense india opportunities iii,other,1276130,Buy,3033084,3671149,2.58,3.13,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147113_865460_15062023072805_WEB.xml
3176,2023-06-15 19:17:00,MANOMAY,Manomay Tex India Limited,yogesh laddha,director,15000,Buy,357250,372250,1.98,2.06,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147111_865455_15062023071753_WEB.xml
3177,2023-06-15 19:01:00,MITTAL,Mittal Life Style Limited,brijeshkumar jagdishkumar mittal huf,promoter group,50000,Sell,4955168,4905168,16.74,16.58,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147108_865446_15062023070144_WEB.xml
3178,2023-06-15 18:59:00,KDDL,KDDL Limited,saboo ventures llp,promoter group,2150,Buy,63765,65915,0.51,0.53,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147106_865441_15062023065933_WEB.xml
3179,2023-06-15 18:46:00,M&M,Mahindra & Mahindra Limited,bharat goenka,employees/designated employees,1000,Buy,2700,3700,0.0,0.0,ESOP,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147104_865425_15062023064648_WEB.xml
